1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
374405,374408,374657,375153,376224,377160,377989,379220,380605,383077,383077,399927,400150,400529,400926,401815,402857,403762,405059,406300,408731
6835.4,7005.9,7089.1,7115.2,7146.7,7170,7194.2,7232,7249,7281.6,7318,7109.4,7200,7251.2,7273.4,7310,7323.5,7328.4,7346.9,7360.9,7398.2
